titleId;ordering;title;region;language;types;attributes;isOriginalTitle;tconst;titleType;primaryTitle;originalTitle;isAdult;startYear;endYear;runtimeMinutes;genres;averageRating;numVotes;pais
tt0010323;1;Das Cabinet des Dr. Caligari;\N;\N;original;\N;1;tt0010323;movie;The Cabinet of Dr. Caligari;Das Cabinet des Dr. Caligari;0;1920;\N;67;Horror,Mystery,Thriller;8.0;73830;Alemanha
tt0012349;1;The Kid;\N;\N;original;\N;1;tt0012349;movie;The Kid;The Kid;0;1921;\N;68;Comedy,Drama,Family;8.2;142161;Estados Unidos da América
tt0013442;1;Nosferatu, eine Symphonie des Grauens;\N;\N;original;\N;1;tt0013442;movie;Nosferatu: A Symphony of Horror;Nosferatu, eine Symphonie des Grauens;0;1922;\N;94;Fantasy,Horror;7.8;119572;Alemanha
tt0015324;1;Sherlock Jr.;\N;\N;original;\N;1;tt0015324;movie;Sherlock Jr.;Sherlock Jr.;0;1924;\N;45;Action,Comedy,Romance;8.2;62836;Estados Unidos da América
tt0015648;1;Bronenosets Potyomkin;\N;\N;original;\N;1;tt0015648;movie;Battleship Potemkin;Bronenosets Potyomkin;0;1925;\N;66;Drama,History,Thriller;7.9;63615;União Soviética
tt0015864;1;The Gold Rush;\N;\N;original;\N;1;tt0015864;movie;The Gold Rush;The Gold Rush;0;1925;\N;95;Adventure,Comedy,Drama;8.1;124964;Estados Unidos da América
tt0017136;1;Metropolis;\N;\N;original;\N;1;tt0017136;movie;Metropolis;Metropolis;0;1927;\N;153;Drama,Sci-Fi;8.3;195691;Alemanha
tt0017925;1;The General;\N;\N;original;\N;1;tt0017925;movie;The General;The General;0;1926;\N;78;Action,Adventure,Comedy;8.1;103444;Estados Unidos da América
tt0018455;1;Sunrise: A Song of Two Humans;\N;\N;original;\N;1;tt0018455;movie;Sunrise;Sunrise: A Song of Two Humans;0;1927;\N;94;Drama,Romance;8.1;55617;Estados Unidos da América
tt0018773;1;The Circus;\N;\N;original;\N;1;tt0018773;movie;The Circus;The Circus;0;1928;\N;72;Comedy,Family,Romance;8.1;37581;Estados Unidos da América
tt0019254;1;La passion de Jeanne d'Arc;\N;\N;original;\N;1;tt0019254;movie;The Passion of Joan of Arc;La passion de Jeanne d'Arc;0;1928;\N;114;Biography,Drama,History;8.1;65721;França
tt0020629;1;All Quiet on the Western Front;\N;\N;original;\N;1;tt0020629;movie;All Quiet on the Western Front;All Quiet on the Western Front;0;1930;\N;152;Drama,War;8.1;70339;Estados Unidos da América
tt0021749;1;City Lights;\N;\N;original;\N;1;tt0021749;movie;City Lights;City Lights;0;1931;\N;87;Comedy,Drama,Romance;8.5;208291;Estados Unidos da América
tt0021814;1;Dracula;\N;\N;original;\N;1;tt0021814;movie;Dracula;Dracula;0;1931;\N;75;Drama,Fantasy,Horror;7.3;62403;Estados Unidos da América
tt0021884;1;Frankenstein;\N;\N;original;\N;1;tt0021884;movie;Frankenstein;Frankenstein;0;1931;\N;70;Drama,Horror,Sci-Fi;7.8;84026;Estados Unidos da América
tt0022100;1;M - Eine Stadt sucht einen Mörder;\N;\N;original;\N;1;tt0022100;movie;M;M - Eine Stadt sucht einen Mörder;0;1931;\N;99;Crime,Mystery,Thriller;8.3;178160;Alemanha
tt0022913;1;Freaks;\N;\N;original;\N;1;tt0022913;movie;Freaks;Freaks;0;1932;\N;64;Drama,Horror;7.8;53001;Estados Unidos da América
tt0023245;1;The Mummy;\N;\N;original;\N;1;tt0023245;movie;The Mummy;The Mummy;0;1932;\N;73;Fantasy,Horror;7.0;32037;Estados Unidos da América
tt0023427;1;Scarface;\N;\N;original;\N;1;tt0023427;movie;Scarface;Scarface;0;1932;\N;93;Action,Crime,Drama;7.7;32115;Estados Unidos da América
tt0023969;1;Duck Soup;\N;\N;original;\N;1;tt0023969;movie;Duck Soup;Duck Soup;0;1933;\N;69;Comedy,Musical;7.7;64351;Estados Unidos da América
tt0024184;1;The Invisible Man;\N;\N;original;\N;1;tt0024184;movie;The Invisible Man;The Invisible Man;0;1933;\N;71;Horror,Sci-Fi;7.6;42316;Estados Unidos da América
tt0024216;1;King Kong;\N;\N;original;\N;1;tt0024216;movie;King Kong;King Kong;0;1933;\N;100;Adventure,Horror;7.9;94010;Estados Unidos da América
